Dates,Clusters,END DATE,PERLIS,KEDAH,P.PINANG,PERAK,SELANGOR,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP.LABUAN,WP.K.LUMPUR,WP.PUTRAJAYA,,TOTAL,
11-October-2020,SUNGEI WAY,5-December-2020,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,,57,
11-October-2020,BAH BUNDLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,,30,
12-October-2020,BAIDURI,22-November-2020,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,20,
12-October-2020,BAH PERDANA,9-November-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,9,
12-October-2020,KOLONG,4-December-2020,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,10,
12-October-2020,BAH TROPICANA,17-December-2020,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,51,
12-October-2020,RINTING,10-November-2020,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,10,
12-October-2020,BAH KASTURI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,28,
13-October-2020,SEMARAK,10-November-2020,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,14,
13-October-2020,BINA,,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,,24,
13-October-2020,SABINDO,10-November-2020,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,14,
13-October-2020,BESTARI,22-November-2020,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,,27,
13-October-2020,BAH KENANGAN,9-December-2020,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,,26,
13-October-2020,PENJARA JAWI SEBERANG PERAI,2-April-2021,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,,95,
14-October-2020,KENCANA,18-November-2020,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,,27,
15-OKTOBER-2020,OLIVE,17-November-2020,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,18,
15-October-2020,BAH PASIR,13-November-2020,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,5,
15-October-2020,BAH PENGKALAN,13-November-2020,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,6,
